company_name,address,city,state,zip,phone,website,email
Serenity Hill Kennels,225 Beaver Dam Rd,Plymouth,MA,2360,,,
Plymouth Boarding Grooming & Daycare,345 Court St,Plymouth,MA,2360,,,
Berg Schatten Kennel,134 Brook St,Plympton,MA,2367,,,
Deb's Dog House,51 Main St,Buzzards Bay,MA,2532,,,
Cloverleaf Kennel,558 Carriage Shop Rd,East Falmouth,MA,2536,,,
Home Away From Home Boarding,11 Fox Run,East Sandwich,MA,2537,,,
Purrsnikitty Cat Boarding Knnl,24 GREAT NECK RD,East Wareham,MA,2538,,,
So Doggone Good Daycare,10 Jan Sebastian Drive #4b,Sandwich,MA,2563,,,
Nauset Kennels,2685 Nauset Rd,Eastham,MA,2642,,,
The Animal Inn,2 Route 130,Forestdale,MA,2644,,,
Golden Kennels,127 Great Western Rd,Harwich,MA,2645,,,
Derbyfield Country Kennel,556 Depot St,Harwich,MA,2645,,,
Kc's Animal Resort,79 Shank Painter Rd,Provincetown,MA,2657,,,
Troutbrook Kennels,20 Wiltons Way,Wellfleet,MA,2667,,,
Bayview Kennels,1071 Main St,West Barnstable,MA,2668,,,
Cape Cod Farm Kennels,1415 Osterville Rd,West Barnstable,MA,2668,,,
Land's End Kennel,5 Bell Rock Rd,Assonet,MA,2702,,,
Dog House,777 S WASHINGTON ST,North Attleboro,MA,2703,,,
Kodiak Acres Dog Boarding & Grooming,1494 N.Hixville Rd,Dartmouth,MA,2747,,,
Bedrock Kennels,244 Dean St,Norton,MA,2766,,,
A & K Country Kennel,197 Carver St,Raynham,MA,2767,,,
Greystone Kennel,107 New St,Rehoboth,MA,2769,,,
Hidden Acres Kennel,21 Great Cedar Swamp Rd,Rehoboth,MA,2769,,,
Country Time Pet Retreat,51 Elm St,Berkley,MA,2779,,,
Manypaws Pet Villa,1126 Main Road,Westport,MA,2790,,,
Boutique Kennel,295 Old County Rd,Westport,MA,2790,,,
Markede Kennel,599 E Main Rd,Middletown,RI,2842,,,
Cozy Quarters Pet Inn,89 Old Sayles Hill Rd,Lincoln,RI,2865,,,
K-9 Instincts Kennel,837 Wapping Rd,Portsmouth,RI,2871,,,
Kingston Kennel & Feed,4263 Tower Hill Rd,Wakefield,RI,2879,,,
Mcosker Kennels,6 Ponemah Rd,Amherst,NH,3031,,,
Olympia Kennels,168 Lane Rd,Chester,NH,3036,,,
Grady Hill Kennel,32 Grady Hill Rd,Goffstown,NH,3045,,,
Countryside K-9 Doggie Daycare,16 Bear Path Lane,Hudson,NH,3051,,,
It's A Dog's Life Kennel,36 BARRETTS HILL RD,Hudson,NH,3051,,,
C & C Kennel,75 Sullivan Rd,Hudson,NH,3051,,,
The Pawfect K-9,18 Airport Rd,Nashua,NH,3063,,,
Dog House,242 Ashburnham Rd,New Ipswich,NH,3071,,,
Elmwood Kennel,55 Taylor Rd,New Ipswich,NH,3071,,,
Cat's In The Dog House At Home,1830 FRONT ST,Manchester,NH,3102,,,
Sendaishi Pet Resort,355 Straw Rd,Manchester,NH,3102,,,
Small Paws Doggie Daycare,86 LINGARD ST,Manchester,NH,3103,,,
Brookwood Pet Resort,37 Old Boyce Rd,Canterbury,NH,3224,,,
K 9 Kids Doggie Daycare,38 MARTIN HILL RD,Epsom,NH,3234,,,
Echo Lane Kennels,186 Bible Hill Rd,Hillsboro,NH,3244,,,
Litterhof Kennel,123 Longridge Dr,Gilford,NH,3249,,,
Four Paws Inn,200 Parade Rd,Meredith,NH,3253,,,
Chichester Pet Resort,113 Dover Rd. (Rt. 4),Chichester,NH,3258,,,
Arcadia Kennels,39 Pound Rd,South Sutton,NH,3273,,,
Kennel At Hemlock Hill Farm The,527 4th Range Rd,Pembroke,NH,3275,,,
Moonlite Kennels,59 Autumn Dr,Tilton,NH,3276,,,
Woodlawn Pet Resort,406 Poverty Plains Rd,Warner,NH,3278,,,
Scratching Post Inn,71 Page Rd,Bow,NH,3304,,,
Chebaco Kennel,95 Warmac Rd,Swanzey,NH,3446,,,
Our Town Kennel,155 Jaffrey Rd,Peterborough,NH,3458,,,
Town & Country Pet Boarding,454 Main Street,Rindge,NH,3461,,,
Littleton Pet Center & Kennel,1985 Saint Johnsbury Rd,Littleton,NH,3561,,,
K C's Meadow Kennel,224 Martin Meadow Pond Rd,Lancaster,NH,3584,,,
Mountain View Pet Resort,151 May St,Canaan,NH,3741,,,
Giullari Kennels,65 Lafortune Rd,Canaan,NH,3741,,,
Montcalm Kennel,116 Smith Pond Rd,Enfield,NH,3748,,,
Woodcrest Kennel,24 Sawyer Brook Rd,Orford,NH,3777,,,
Top Dog Kennels,206 Route 11,Sunapee,NH,3782,,,
Wal-ana-court Kennel,157 Trues Brook Rd,West Lebanon,NH,3784,,,
Conway Pet Boarding & Grooming,1590 E Main St,Center Conway,NH,3813,,,
Lazy Dog Inn,201 White Mountain Hwy,Chocorua,NH,3817,,,
Deco Dogs Daycare,21 Back River Rd,Dover,NH,3820,,,
Great Bay Kennel,27 Newmarket Rd,Durham,NH,3824,,,
Country Road Kennels Center,15 Scrabble Rd,Exeter,NH,3833,,,
Briarwood Hotel For Dogs,37 Hansonville Rd,Rochester,NH,3839,,,
Greenland Meadows Doggie Daycare,176 Breakfast Hill Rd,Greenland,NH,3840,,,
Carol's Grooming & Kennels,400 Emerson Ave,Hampstead,NH,3841,,,
Cappa's Kennel,6 Page Rd,Kingston,NH,3848,,,
Cheryl's Pet Boarding& Grooming,76 rt 153,Milton,NH,3851,,,
Stillwater Kennels,100 Meaderboro Rd,Rochester,NH,3867,,,
Country Brook Kennels,184 Farmington Rd,Rochester,NH,3867,,,
Paws Inn At Great Falls,428 Route 108,Somersworth,NH,3878,,,
Paradise Kennels/traveling,16 Savard Rd,East Baldwin,ME,4024,,,
Dog N'cat Kennel,41 Columbus Cir,Lebanon,ME,4027,,,
Brown Dog Inn,24 Crown Ct,Freeport,ME,4032,,,
Pawsibilities Pet Grooming And Boarding,31 Hunter Rd,Freeport,ME,4032,,,
Pleasant Hill Kennels,81 Pleasant Hill Rd,Freeport,ME,4032,,,
The Red Barn Inn,421 Alfred Road,Kennebunk,ME,4043,,,
Mousam River Kennels,61 Heath Rd,Kennebunk,ME,4043,,,
Snazzy Pet Bed & Biscuit,757 Limerick Rd,Arundel,ME,4046,,,
Shadowed Birch Kennels,593 Ossipee Trl,Limington,ME,4049,,,
Wiley Road Kennels,32 Hunt Rd,Naples,ME,4055,,,
Killington Kennel,10 Conant Dr,Windham,ME,4062,,,
Clover Acres Kennel,135 Chute Rd,Windham,ME,4062,,,
Keoke Kennels Boarding,5 Hodgeman Ave,Saco,ME,4072,,,
Keegan Kennels Boarding Small Breeds,749 Portland Rd,Saco,ME,4072,,,
Suntar's Kennels,750 Portland Rd,Saco,ME,4072,,,
Dog Paws Inn,373 Gorham Road,Scarborough,ME,4074,,,
Great Island Kennel,21 Wilburs Way,Harpswell,ME,4079,,,
Atlantic Sunset Kennel,403 Cundys Harbor Rd,Harpswell,ME,4079,,,
Crooked River Dogge Daycare,321 Norway Rd,Waterford,ME,4088,,,
Country Time Boarding Kennels,162 Boyd Rd,Wells,ME,4090,,,
Maranatha Boarding & Grooming Kennels,26 Junes Way,Buxton,ME,4093,,,
My Best Buddy Dog Daycare Boarding & Grooming,67 Narragansett Trl,Buxton,ME,4093,,,
Brickyard Kennels,14 Snow Hook Trl,North Yarmouth,ME,4097,,,
The Doggz Inn,65 Washington St.,Auburn,ME,4210,,,
Shangri-la Kennels,852 Washington St N,Auburn,ME,4210,,,
Barker Brook Kennels,120 Sunday River Road,Bethel,ME,4217,,,
Doggone Fun Doggy Daycare & Boarding,528 Lincoln St.,Lewiston,ME,4240,,,
Mistyridge Kennel,358 Ridge Rd,Lisbon Falls,ME,4252,,,
Kaylish-kartel Boarding Kennels,107 Libby Rd,Mechanic Falls,ME,4256,,,
Munster Abbey Kennels,477 Center Minot Hill Rd,Minot,ME,4258,,,
Howling Hill Dog Boarding,113a Fish Hatchery Rd,New Gloucester,ME,4260,,,
Sierra's Boarding Kennel,249 Bennett Rd,New Gloucester,ME,4260,,,
Kim's Canine Retreat Doggie,432 Hardscrabble Rd,North Monmouth,ME,4265,,,
Bee's Pet Boarding,103 Tripp Lake Rd,Poland,ME,4274,,,
Dog Lodge,28 Spring Water Rd,Poland,ME,4274,,,
Pleasant Pond Kennel,244 Pleasant Pond Rd,Turner,ME,4282,,,
Von Woden Kennels,170 Center Hill Rd,Weld,ME,4285,,,
Wags Daycare For Dogs,167 Leighton Rd,Augusta,ME,4330,,,
Top Dog Country Club,544 S Belfast Ave,Augusta,ME,4330,,,
Crosswind Kennels,5 Crosswind Dr,Gardiner,ME,4345,,,
Fox Run Boarding Kennels,755 Turner Rdg,Palermo,ME,4354,,,
Furry Friends Boarding & Day,315 South Rd,Winthrop,ME,4364,,,
Second Home Kennels,11 Adams St,Hermon,ME,4401,,,
Bangor Pet Resort & Spa,1412 Essex St,Bangor,ME,4401,,,
Canine Camp,392 Kittredge Rd,Bangor,ME,4401,,,
Carden Kennels,880 Ohio St,Bangor,ME,4401,,,
Country Kennel,1708 Stillwater Ave,Bangor,ME,4401,,,
Bear Brook Kennels,19 Bennett Rd,Brewer,ME,4412,,,
Your Dog's Inn,115 North Road,Hampden,ME,4444,,,
Meadow Brook Boarding Kennels,151 Gilpin Rd,Orland,ME,4472,,,
Settlers West Wind Kennel,25 Settlers Way,Orrington,ME,4474,,,
El Rancho Kennels,418 Johnson Mill Rd.,Orrington,ME,4474,,,
Haggett Hill Boarding Kennel,93 Dodge Rd,Edgecomb,ME,4556,,,
Perry Greene Kennel,20 Perry Greene Hill Road,Waldoboro,ME,4572,,,
Acadia Woods Kennel,31 Gretas Lane,Bar Harbor,ME,4609,,,
Cpl Kennels,6 County Rd,Eastport,ME,4631,,,
Surry Kennels,254 Blue Hill Rd,Surry,ME,4684,,,
Stoneybrook Kennels,82 Houlton Rd,Baileyville,ME,4694,,,
Home Farm Kennels,186 Old Washburn Rd,Caribou,ME,4736,,,
Fish Stream Kennels,102 Crystal Rd,Crystal,ME,4747,,,
Critter Hill Kennel,97 Ashby road,Presque Isle,ME,4769,,,
Stillwater Farm Animal Boarding,579 Alford Lake Rd,Hope,ME,4847,,,
Reflection Pond Inn,2 Reflection Pond Drive,Rockport,ME,4856,,,
Sukee Kennel,1079 Atlantic Hwy,Warren,ME,4864,,,
Applewood Boarding Kennel,174 Bangor Rd,Benton,ME,4901,,,
Pet Motel,534 Dexter Rd #7,Corinna,ME,4928,,,
Fairfield Kennels,80 Horn Hill Rd,Fairfield,ME,4937,,,
Pine Grove Kennel,125 Gray Rd,Palmyra,ME,4965,,,
"Darian's Doggy Daycare, Boarding And Grooming",179 Beans Corner Road,Pittsfield,ME,4967,,,
Sebasticook Farms Kennel,460 Hartland Ave,Pittsfield,ME,4967,,,
Dogwood Animal Retreat,24 Belfast Augusta Rd W,Searsmont,ME,4973,,,
Blackman's Kennels,667 Waterville Rd,Skowhegan,ME,4976,,,
Rotoba Farm Kennel,150 Quechee Rd,Hartland,VT,5048,,,
Royalton Hill Kennel,3815 Royalton Hill Rd,South Royalton,VT,5068,,,
Willow Farm Boarding Kennel,352 Davidson Hill Rd,Chester,VT,5143,,,
Springhill Grooming & Kennel,286 South St,Springfield,VT,5156,,,
Great Fields Kennel,48 Riverside Dr,North Bennington,VT,5257,,,
Ravenscroft Dog Boarding,1111 Old Depot Road,Shaftsbury,VT,5262,,,
Fran-zando Boarding Kennel,227 Fran Zando Rd,Shaftsbury,VT,5262,,,
Puppy Acres Boarding Kennels,930 Lee Rd,Guilford,VT,5301,,,
Vermont Dog Pack Camp,19 B Cottage Grove Ave,South Burlington,VT,5403,,,
Dogzone Dog Daycare & Play Center,1 Tigan St,Winooski,VT,5404,,,
Tail Wag Inn,189 Dan Reynolds Dr,Cambridge,VT,5444,,,
Crangold Boarding Kennels,738 Bean Rd,Charlotte,VT,5445,,,
Zoey's House Dog Sitting/boarding In My Home,413 Edgewood Drive,Colchester,VT,5446,,,
Lucky Puppies Dog Day Care & Boarding,852 Mill Pond Rd,Colchester,VT,5446,,,
Sandy Pines Kennel,194 Chapin Rd,Essex Junction,VT,5452,,,
Top Of The Hill Boarding Knnls,145 Mc Kinnel Rd,Highgate Center,VT,5459,,,
Deja Vu Kennels,7 Sanderson Rd,Milton,VT,5468,,,
Pinebrook Kennels,524 Lake Rd,Milton,VT,5468,,,
Primadogga Boarding Kennel,541 Bishop Rd,Shelburne,VT,5482,,,
Gulliver's Doggie Daycare,59 Industrial Ave,Williston,VT,5495,,,
Happy Tails Boarding Kennel,993 Northfield Rd,Roxbury,VT,5669,,,
Stowe Kennel Kare,199 Adams Mill Rd,Stowe,VT,5672,,,
Lucky Dog Daycare & Boarding Facility,60 Pike Hill Rd,Warren,VT,5674,,,
Ripanco Kennels,1174 Mountainview Dr,Waterbury,VT,5676,,,
Mountainview Cat Boarding Kennel,701 Bailey Rd,Williamstown,VT,5679,,,
Vt Dog B'n'b A Boarding 'n' Behavior Center,572 Corley Road,Wolcott,VT,5680,,,
Saddle Mountain Kennels,45 Eastham Rd,Cuttingsville,VT,5738,,,
Middlebury Boarding & Grooming Kennel,2819 S Street Ext,Middlebury,VT,5753,,,
Sykes Hollow Kennels,694 Sykes Hollow Rd,Pawlet,VT,5761,,,
North Danville Pet Hotel,1319 N Danville Rd,Danville,VT,5828,,,
Oasis Pet Resort,567 Sias Ave,Newport,VT,5855,,,
Fluffy Pals Pet Palace,1059 Blue Hills Ave,Bloomfield,CT,6002,,,
Meadowrock Kennels,616 South St,Suffield,CT,6078,,,
Hidden Acres Kennel,247 Plains Rd,Tolland,CT,6084,,,
Harlan Ridge Kennel,348 Old Colony Rd,Eastford,CT,6242,,,
Tamarack Boarding Kennels,7 Liberty Pl,Clinton,CT,6413,,,
Cassio Pet Resort - Training Ctr,173 Mt Pleasant Rd,Newtown,CT,6470,,,
Silver Trails-the Animal Inn,706 Horse Hill Rd,Westbrook,CT,6498,,,
Lordship Kennels,215 Charles Street,Stratford,CT,6615,,,
Hemlock Kennels & Cattery,202 Crane Hollow Rd,Bethlehem,CT,6751,,,
Merryall Kennels,83 Merryall Rd,New Milford,CT,6776,,,
Highway Kennels,555 Kings Hwy E,Fairfield,CT,6825,,,
Falkenturm Kennels,20 Force Hill Rd,Livingston,NJ,7039,,,
Brookside Kennel Of Warren,21 Brookside Dr,Warren,NJ,7059,,,
Bellwood Kennels,86 LAVERGNE ST,Belleville,NJ,7109,,,
Aranwood Kennels,100 Stag Hill Rd,Mahwah,NJ,7430,,,
Fardale Kennels,346 Forest Rd,Mahwah,NJ,7430,,,
Camp Bow Wow Midland Park / Franklin Lakes Dog Boarding,95 Greenwood Avenue,Midland Park,NJ,7432,,,
Shasta Kennels,23 Gemmer Rd,Sussex,NJ,7461,,,
Boarding By Joan,5 Maida Dr,Sussex,NJ,7461,,,
Chestnut Ridge Kennels,16 Forest Dr,Vernon,NJ,7462,,,
Applewood Kennels,358 State Route 94,Vernon,NJ,7462,,,
Cedar Lane Pet Lodge,272 CEDAR LN,River Vale,NJ,7675,,,
Camp Bow Wow Monmouth County Dog Boarding And Daycare,284 Old Deal Road,Eatontown,NJ,7724,,,
All Seasons Pet Resort,276 Jackson Mills Rd,Freehold,NJ,7728,,,
Bren-joe Boarding Kennels,276 Jackson Mills Rd,Freehold,NJ,7728,,,
B & Ba Canine Bed & Breakfast,395 ELY HARMONY RD,Freehold,NJ,7728,,,
Brookline Kennels,805 Elton Adelphia Road,Freehold,NJ,7728,,,
Cherry Lane Kennels,888 HIGHWAY 33,Freehold,NJ,7728,,,
Highland Kennel,1424 Maxim Southard Rd,Howell,NJ,7731,,,
Hope's Kennels,416 SILVER LAKE RD,Blairstown,NJ,7825,,,
Kountry Kennels,3 Volker Ln,Montague,NJ,7827,,,
Poochy's Paradise Pet Resort,503 State Route 94,Columbia,NJ,7832,,,
Hermitage Kennels The,38 Main St,Flanders,NJ,7836,,,
Happy Tails Inn Pet Resort,69 Hwy Rte 46,Hackettstown,NJ,7840,,,
Lake Hopatcong Kennel's,14 State Route 181,Lake Hopatcong,NJ,7849,,,
Ando Kennels,534 US Highway 206 S,Newton,NJ,7860,,,
Hollabird Kennels,861 State Route 10,Randolph,NJ,7869,,,
Kerfree Kennels,530 Houses Corner Rd,Sparta,NJ,7871,,,
Bernardsville Country Kennels,570 Mine Brook Rd,Bernardsville,NJ,7924,,,
Elizabeth Ann Kennels,1103 Valley Rd Apt A,Stirling,NJ,7980,,,
Camp Bow Wow Cherry Hill Dog Boarding And Daycare,"3 Esterbrook Lane, Suite 250",Cherry Hill,NJ,8003,,,
Beth & Ken's Pet Hotel,706 WHITE HORSE PIKE,Atco,NJ,8004,,,
Arbury Kennels,504 Elbow Ln,Burlington,NJ,8016,,,
Country Kennels Cat'n'dog Lodge & Salon,2750 Egg Harbor Rd,Lindenwold,NJ,8021,,,
Peach Tree Canine Hotel,530 FISH POND RD,Glassboro,NJ,8028,,,
Lucky's Bed & Biscuit,508 East Bay Ave.,Manahawkin,NJ,8050,,,
Clif Wyck Farms Boarding Kennels,131 Kennilworth Rd,Marlton,NJ,8053,,,
Allen's Boarding Kennels,116 BORTON LANDING RD,Moorestown,NJ,8057,,,
Barks And Breakfast!! A Pet Hotel And Daycare,208 Garden St,Mt Holly,NJ,8060,,,
Barney's Grooming Salon & Kennels,2214 Monmouth Rd,Mount Holly,NJ,8060,,,
Brandy Lane Farm Kennel,27 W RAILROAD AVE,Mount Holly,NJ,8060,,,
Four Winds Animal Inn,140 Giffordtown Ln,Tuckerton,NJ,8087,,,
Sagewood Kennels,39 E GREENBUSH RD,Little Egg Harbor,NJ,8087,,,
Robinswood Kennels,401 Parkertown Dr,Little Egg Hbr Twp,NJ,8087,,,
Bedlam Kennel,10 Eayrestown Rd,Southampton,NJ,8088,,,
Cedar Lane Kennels,1719 Route 70,Southampton,NJ,8088,,,
Morlite Kennel,1617 S Black Horse Pike,Williamstown,NJ,8094,,,
Windrift Kennels,129 N Delsea Dr,Cape May Court House,NJ,8210,,,
Barkwoods Kennel,252 S Leipzig Ave,Egg Harbor City,NJ,8215,,,
Ketara Kennels,933 W Shiller St,Egg Harbor City,NJ,8215,,,
Somers Point Kennels,5 Holly Hills Dr,Somers Point,NJ,8244,,,
Karma Kennels,187 Madison Ave,Clayton,NJ,8312,,,
Khris' Kennel Kuts & More,457 N DELSEA DR,Clayton,NJ,8312,,,
Pampered Pup Luxury Pet Resort,2709 Mays Landing Rd,Millville,NJ,8332,,,
Piney Hollow Boarding Kennels,2933 Victoria Ave,Newfield,NJ,8344,,,
Ted's Pet Country Club,2636 S DELSEA DR,Vineland,NJ,8360,,,
Lotta Luv Animal Lodge,2981 N DELSEA DR,Vineland,NJ,8360,,,
Tip Top Kennels,565 Forest Grove Rd,Vineland,NJ,8360,,,
Atlantic City Pet Care Kennel,547 N Trenton Ave,Atlantic City,NJ,8401,,,
Bed & Biscuit Inn,65 Millstone River Rd,Belle Mead,NJ,8502,,,
Chesterfield Kennels Dog Boarding,713 Monmouth Rd,Chesterfield,NJ,8515,,,
Arcadia Kennels,131 Van Dyke Rd,Hopewell,NJ,8525,,,
Ain't Misbehaving Dog Training & Boarding,156 W Commodore Blvd,Jackson,NJ,8527,,,
Canine Pet Resort,26 WHITESVILLE ROAD,Jackson,NJ,8527,,,
Ark Kennels,460 Vath St,Jackson,NJ,8527,,,
Allstar Boarding Kennel,470 W Commodore Blvd,Jackson,NJ,8527,,,
Gradlyn Kennels,481 Wrightstown Sykesville Rd,Wrightstown,NJ,8562,,,
All Good Dogs Daycare,160 Basin Rd,Trenton,NJ,8619,,,
Chestnut Farm Kennels,245 Chestnut St,Lakewood,NJ,8701,,,
Chelene Kennels,329 Cross St,Lakewood,NJ,8701,,,
Sugar Pine Kennels,4023 RIDGEWAY RD,Manchester Township,NJ,8759,,,
